Experiment Name,Sequence Name,Data Size,Learning Time (s),CPU Usage (%),RAM Usage (MB),CPU Speed (GHz),Cores Used,Training Accuracy (%), DotNet Version
MultiSequenceLearning,S24,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S25,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S26,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S27,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S28,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S29,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S30,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S1,49,1049.042546,212929.6875,41.03125,2.401,4,100,.NET 8.0.11
MultiSequenceLearning,S2,49,1049.042546,212929.6875,41.03125,2.401,4,97.95918367346938,.NET 8.0.11
MultiSequenceLearning,S3,49,1049.042546,212929.6875,41.03125,2.401,4,97.95918367346938,.NET 8.0.11
MultiSequenceLearning,S4,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S5,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S6,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S7,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S8,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S9,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S10,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S11,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S12,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S13,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S14,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S15,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S16,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S17,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S18,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S19,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S20,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S21,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S22,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S23,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S24,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S25,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S26,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S27,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S28,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S29,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S30,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S1,49,1049.042546,212929.6875,41.03125,2.401,4,100,.NET 8.0.11
MultiSequenceLearning,S2,49,1049.042546,212929.6875,41.03125,2.401,4,97.95918367346938,.NET 8.0.11
MultiSequenceLearning,S3,49,1049.042546,212929.6875,41.03125,2.401,4,97.95918367346938,.NET 8.0.11
MultiSequenceLearning,S4,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S5,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S6,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S7,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S8,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S9,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S10,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S11,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S12,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S13,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S14,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S15,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S16,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S17,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S18,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S19,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S20,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S21,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S22,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S23,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S24,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S25,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S26,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S27,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S28,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S29,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S30,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S1,49,1049.042546,212929.6875,41.03125,2.401,4,100,.NET 8.0.11
MultiSequenceLearning,S2,49,1049.042546,212929.6875,41.03125,2.401,4,97.95918367346938,.NET 8.0.11
MultiSequenceLearning,S3,49,1049.042546,212929.6875,41.03125,2.401,4,97.95918367346938,.NET 8.0.11
MultiSequenceLearning,S4,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S5,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S6,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S7,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S8,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S9,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S10,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S11,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S12,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S13,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S14,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S15,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S16,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S17,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S18,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S19,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S20,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S21,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S22,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S23,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S24,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S25,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S26,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S27,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S28,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S29,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S30,9,1049.042546,212929.6875,41.03125,2.401,4,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S1,49,4610.1125782,30.95703125,2.401,5,100,.NET 8.0.11
MultiSequenceLearning,S2,49,4610.1125782,30.95703125,2.401,5,97.95918367346938,.NET 8.0.11
MultiSequenceLearning,S3,49,4610.1125782,30.95703125,2.401,5,97.95918367346938,.NET 8.0.11
MultiSequenceLearning,S4,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S5,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S6,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S7,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S8,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S9,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S10,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S11,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S12,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S13,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S14,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S15,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S16,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S17,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S18,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S19,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S20,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S21,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S22,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S23,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S24,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S25,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S26,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
MultiSequenceLearning,S27,9,4610.1125782,30.95703125,2.401,5,88.88888888888889,.NET 8.0.11
